statementID,Topic,TopicEN,statement,position,party
9, Zorgfonds ,Healthcare fund,In plaats van de bestaande zorgverzekeraars moet er een landelijk zorgfonds komen voor iedereen.,agree,Trots op Nederland
10, Gezichtsbedekkende kleding ,Face-covering clothing,De regering moet het verbod op gezichtsbedekkende kleding afschaffen.,disagree,Trots op Nederland
11, Volkshuisvesting ,Public housing,In plaats van provincies en gemeenten moet de landelijke overheid beslissen waar nieuwe woonwijken worden gebouwd.,disagree,Trots op Nederland
12, Btw op kunst en cultuur ,VAT on arts and culture,De regering moet de btw op culturele activiteiten verlagen naar 5 procent.,agree,Trots op Nederland
13, Kerncentrale ,Nuclear power plant,Nederland moet een nieuwe kerncentrale bouwen.,agree,Trots op Nederland
14, Woningen op landbouwgrond ,Housing on agricultural land,Er moeten woningen worden gebouwd op grond die nu voor landbouw wordt gebruikt.,disagree,Trots op Nederland
15, Belastingvoordeel huishoudens ,Household tax benefits,"Huishoudens met twee partners waarvan er één werkt, moeten net zoveel belastingvoordeel krijgen als huishoudens met twee werkende partners.",agree,Trots op Nederland
16, Excuses slavenhandel ,Apology for the slave trade,De Nederlandse regering moet excuses aanbieden voor de slavenhandel in het verleden.,disagree,Trots op Nederland
17, Correctief referendum ,Corrective referendum,Burgers moeten de mogelijkheid krijgen om door het parlement aangenomen wetten tegen te houden via een referendum.,agree,Trots op Nederland
18, Inkomen leraren ,Teacher salaries,Leraren op basisscholen moeten net zoveel gaan verdienen als leraren op middelbare scholen.,agree,Trots op Nederland
19, Gevangenisstraffen ,Prison sentences,Er moeten minder mogelijkheden komen om taakstraffen op te leggen in plaats van gevangenisstraffen.,agree,Trots op Nederland
20, Vliegbelasting ,Air travel tax,Nederland moet een extra vliegbelasting invoeren voor korte-afstandsvluchten.,disagree,Trots op Nederland
21, Inburgering op locatie ,Location-based integration,Asielzoekers met een voorlopige verblijfsvergunning moeten eerst inburgeren voordat zij een huurwoning krijgen.,agree,Trots op Nederland
22, Legalisering softdrugs ,Legalization of soft drugs,Zowel inkoop als verkoop van softdrugs door coffeeshops moet legaal worden.,agree,Trots op Nederland
23, Nederlandstalig hoger onderwijs ,Dutch-language higher education,De overheid moet onderwijs in het Nederlands vaker verplicht stellen op universiteiten en hogescholen.,agree,Trots op Nederland
24, Voltooid leven ,Completed life,"Mensen die hun leven voltooid vinden, moeten hulp kunnen krijgen bij zelfdoding.",agree,Trots op Nederland
25, Koppeling minimumloon en bijstand ,Minimum wage and welfare linkage,Verhoging van de minimumlonen moet niet langer automatisch leiden tot verhoging van de bijstandsuitkeringen.,agree,Trots op Nederland
26, Sociale huurwoningen ,Social housing,Nieuwbouwwijken moeten voor ten minste 40 procent bestaan uit sociale huurwoningen.,agree,Trots op Nederland
27, Boerenbedrijven ,Farming businesses,Er moeten geen nieuwe beperkingen komen op de activiteiten van boerenbedrijven.,agree,Trots op Nederland
28, Middenschool ,Middle school,"Er moet een middenschool komen, zodat leerlingen op latere leeftijd de keuze maken tussen vmbo, havo of vwo.",agree,Trots op Nederland
29, Vluchtelingen opnemen ,Accepting refugees,Nederland moet meer vluchtelingen opnemen dan het nu doet.,disagree,Trots op Nederland
30, Mondkapjesplicht ,Face mask mandate,Mensen moeten altijd zelf kunnen kiezen of ze een mondkapje dragen. ,agree,Trots op Nederland
1, Vaccinatiebewijs ,Vaccination certificate,Organisatoren van evenementen moeten bij de toegang een vaccinatiebewijs kunnen vragen.,disagree,Lijst30
2, Defensiebudget ,Defense budget,Nederland moet meer geld uitgeven aan  defensie.,disagree,Lijst30
3, Gratis kinderopvang ,Free childcare,Kinderopvang moet voor alle ouders ten minste drie dagen in de week gratis worden.,agree,Lijst30
4, Nederland uit EU ,Netherlands leaving the EU,Nederland moet uit de Europese Unie (EU) stappen.,neutral,Lijst30
5, Rekeningrijden ,Road pricing,In plaats van de belasting op autobezit moet er voor automobilisten een belasting komen per gereden kilometer.,disagree,Lijst30
6, Vuurwerk ,Fireworks,Aankomende jaarwisseling moet het weer toegestaan zijn om siervuurwerk af te steken.,agree,Lijst30
7, Vleesbelasting ,Meat tax,Er moet een extra belasting komen op het kopen van vlees.,disagree,Lijst30
8, Publieke omroep ,Public broadcasting,Er moet minder geld naar de publieke omroep.,agree,Lijst30
9, Zorgfonds ,Healthcare fund,In plaats van de bestaande zorgverzekeraars moet er een landelijk zorgfonds komen voor iedereen.,agree,Lijst30
10, Gezichtsbedekkende kleding ,Face-covering clothing,De regering moet het verbod op gezichtsbedekkende kleding afschaffen.,disagree,Lijst30
11, Volkshuisvesting ,Public housing,In plaats van provincies en gemeenten moet de landelijke overheid beslissen waar nieuwe woonwijken worden gebouwd.,disagree,Lijst30
12, Btw op kunst en cultuur ,VAT on arts and culture,De regering moet de btw op culturele activiteiten verlagen naar 5 procent.,agree,Lijst30
13, Kerncentrale ,Nuclear power plant,Nederland moet een nieuwe kerncentrale bouwen.,neutral,Lijst30
14, Woningen op landbouwgrond ,Housing on agricultural land,Er moeten woningen worden gebouwd op grond die nu voor landbouw wordt gebruikt.,agree,Lijst30
15, Belastingvoordeel huishoudens ,Household tax benefits,"Huishoudens met twee partners waarvan er één werkt, moeten net zoveel belastingvoordeel krijgen als huishoudens met twee werkende partners.",agree,Lijst30
16, Excuses slavenhandel ,Apology for the slave trade,De Nederlandse regering moet excuses aanbieden voor de slavenhandel in het verleden.,disagree,Lijst30
17, Correctief referendum ,Corrective referendum,Burgers moeten de mogelijkheid krijgen om door het parlement aangenomen wetten tegen te houden via een referendum.,agree,Lijst30
18, Inkomen leraren ,Teacher salaries,Leraren op basisscholen moeten net zoveel gaan verdienen als leraren op middelbare scholen.,disagree,Lijst30
19, Gevangenisstraffen ,Prison sentences,Er moeten minder mogelijkheden komen om taakstraffen op te leggen in plaats van gevangenisstraffen.,disagree,Lijst30
20, Vliegbelasting ,Air travel tax,Nederland moet een extra vliegbelasting invoeren voor korte-afstandsvluchten.,disagree,Lijst30
21, Inburgering op locatie ,Location-based integration,Asielzoekers met een voorlopige verblijfsvergunning moeten eerst inburgeren voordat zij een huurwoning krijgen.,agree,Lijst30
22, Legalisering softdrugs ,Legalization of soft drugs,Zowel inkoop als verkoop van softdrugs door coffeeshops moet legaal worden.,agree,Lijst30
23, Nederlandstalig hoger onderwijs ,Dutch-language higher education,De overheid moet onderwijs in het Nederlands vaker verplicht stellen op universiteiten en hogescholen.,agree,Lijst30
24, Voltooid leven ,Completed life,"Mensen die hun leven voltooid vinden, moeten hulp kunnen krijgen bij zelfdoding.",agree,Lijst30
25, Koppeling minimumloon en bijstand ,Minimum wage and welfare linkage,Verhoging van de minimumlonen moet niet langer automatisch leiden tot verhoging van de bijstandsuitkeringen.,agree,Lijst30
26, Sociale huurwoningen ,Social housing,Nieuwbouwwijken moeten voor ten minste 40 procent bestaan uit sociale huurwoningen.,agree,Lijst30
27, Boerenbedrijven ,Farming businesses,Er moeten geen nieuwe beperkingen komen op de activiteiten van boerenbedrijven.,agree,Lijst30
28, Middenschool ,Middle school,"Er moet een middenschool komen, zodat leerlingen op latere leeftijd de keuze maken tussen vmbo, havo of vwo.",agree,Lijst30
29, Vluchtelingen opnemen ,Accepting refugees,Nederland moet meer vluchtelingen opnemen dan het nu doet.,disagree,Lijst30
30, Mondkapjesplicht ,Face mask mandate,Mensen moeten altijd zelf kunnen kiezen of ze een mondkapje dragen. ,agree,Lijst30
1, Vaccinatiebewijs ,Vaccination certificate,Organisatoren van evenementen moeten bij de toegang een vaccinatiebewijs kunnen vragen.,disagree,JA21
2, Defensiebudget ,Defense budget,Nederland moet meer geld uitgeven aan  defensie.,agree,JA21
3, Gratis kinderopvang ,Free childcare,Kinderopvang moet voor alle ouders ten minste drie dagen in de week gratis worden.,disagree,JA21
4, Nederland uit EU ,Netherlands leaving the EU,Nederland moet uit de Europese Unie (EU) stappen.,disagree,JA21
5, Rekeningrijden ,Road pricing,In plaats van de belasting op autobezit moet er voor automobilisten een belasting komen per gereden kilometer.,neutral,JA21
6, Vuurwerk ,Fireworks,Aankomende jaarwisseling moet het weer toegestaan zijn om siervuurwerk af te steken.,agree,JA21
7, Vleesbelasting ,Meat tax,Er moet een extra belasting komen op het kopen van vlees.,disagree,JA21
8, Publieke omroep ,Public broadcasting,Er moet minder geld naar de publieke omroep.,agree,JA21
9, Zorgfonds ,Healthcare fund,In plaats van de bestaande zorgverzekeraars moet er een landelijk zorgfonds komen voor iedereen.,disagree,JA21
10, Gezichtsbedekkende kleding ,Face-covering clothing,De regering moet het verbod op gezichtsbedekkende kleding afschaffen.,disagree,JA21
11, Volkshuisvesting ,Public housing,In plaats van provincies en gemeenten moet de landelijke overheid beslissen waar nieuwe woonwijken worden gebouwd.,disagree,JA21
12, Btw op kunst en cultuur ,VAT on arts and culture,De regering moet de btw op culturele activiteiten verlagen naar 5 procent.,disagree,JA21
13, Kerncentrale ,Nuclear power plant,Nederland moet een nieuwe kerncentrale bouwen.,agree,JA21
14, Woningen op landbouwgrond ,Housing on agricultural land,Er moeten woningen worden gebouwd op grond die nu voor landbouw wordt gebruikt.,neutral,JA21
15, Belastingvoordeel huishoudens ,Household tax benefits,"Huishoudens met twee partners waarvan er één werkt, moeten net zoveel belastingvoordeel krijgen als huishoudens met twee werkende partners.",agree,JA21
16, Excuses slavenhandel ,Apology for the slave trade,De Nederlandse regering moet excuses aanbieden voor de slavenhandel in het verleden.,disagree,JA21
17, Correctief referendum ,Corrective referendum,Burgers moeten de mogelijkheid krijgen om door het parlement aangenomen wetten tegen te houden via een referendum.,agree,JA21
18, Inkomen leraren ,Teacher salaries,Leraren op basisscholen moeten net zoveel gaan verdienen als leraren op middelbare scholen.,disagree,JA21
19, Gevangenisstraffen ,Prison sentences,Er moeten minder mogelijkheden komen om taakstraffen op te leggen in plaats van gevangenisstraffen.,agree,JA21
20, Vliegbelasting ,Air travel tax,Nederland moet een extra vliegbelasting invoeren voor korte-afstandsvluchten.,disagree,JA21
21, Inburgering op locatie ,Location-based integration,Asielzoekers met een voorlopige verblijfsvergunning moeten eerst inburgeren voordat zij een huurwoning krijgen.,agree,JA21
22, Legalisering softdrugs ,Legalization of soft drugs,Zowel inkoop als verkoop van softdrugs door coffeeshops moet legaal worden.,agree,JA21
23, Nederlandstalig hoger onderwijs ,Dutch-language higher education,De overheid moet onderwijs in het Nederlands vaker verplicht stellen op universiteiten en hogescholen.,agree,JA21
24, Voltooid leven ,Completed life,"Mensen die hun leven voltooid vinden, moeten hulp kunnen krijgen bij zelfdoding.",disagree,JA21
25, Koppeling minimumloon en bijstand ,Minimum wage and welfare linkage,Verhoging van de minimumlonen moet niet langer automatisch leiden tot verhoging van de bijstandsuitkeringen.,agree,JA21
26, Sociale huurwoningen ,Social housing,Nieuwbouwwijken moeten voor ten minste 40 procent bestaan uit sociale huurwoningen.,disagree,JA21
27, Boerenbedrijven ,Farming businesses,Er moeten geen nieuwe beperkingen komen op de activiteiten van boerenbedrijven.,agree,JA21
28, Middenschool ,Middle school,"Er moet een middenschool komen, zodat leerlingen op latere leeftijd de keuze maken tussen vmbo, havo of vwo.",disagree,JA21
29, Vluchtelingen opnemen ,Accepting refugees,Nederland moet meer vluchtelingen opnemen dan het nu doet.,disagree,JA21
30, Mondkapjesplicht ,Face mask mandate,Mensen moeten altijd zelf kunnen kiezen of ze een mondkapje dragen. ,neutral,JA21
1, Vaccinatiebewijs ,Vaccination certificate,Organisatoren van evenementen moeten bij de toegang een vaccinatiebewijs kunnen vragen.,agree,VVD
2, Defensiebudget ,Defense budget,Nederland moet meer geld uitgeven aan  defensie.,agree,VVD
3, Gratis kinderopvang ,Free childcare,Kinderopvang moet voor alle ouders ten minste drie dagen in de week gratis worden.,disagree,VVD
4, Nederland uit EU ,Netherlands leaving the EU,Nederland moet uit de Europese Unie (EU) stappen.,disagree,VVD
5, Rekeningrijden ,Road pricing,In plaats van de belasting op autobezit moet er voor automobilisten een belasting komen per gereden kilometer.,neutral,VVD
6, Vuurwerk ,Fireworks,Aankomende jaarwisseling moet het weer toegestaan zijn om siervuurwerk af te steken.,agree,VVD
7, Vleesbelasting ,Meat tax,Er moet een extra belasting komen op het kopen van vlees.,disagree,VVD
8, Publieke omroep ,Public broadcasting,Er moet minder geld naar de publieke omroep.,agree,VVD
9, Zorgfonds ,Healthcare fund,In plaats van de bestaande zorgverzekeraars moet er een landelijk zorgfonds komen voor iedereen.,disagree,VVD
10, Gezichtsbedekkende kleding ,Face-covering clothing,De regering moet het verbod op gezichtsbedekkende kleding afschaffen.,disagree,VVD
11, Volkshuisvesting ,Public housing,In plaats van provincies en gemeenten moet de landelijke overheid beslissen waar nieuwe woonwijken worden gebouwd.,agree,VVD
12, Btw op kunst en cultuur ,VAT on arts and culture,De regering moet de btw op culturele activiteiten verlagen naar 5 procent.,disagree,VVD
13, Kerncentrale ,Nuclear power plant,Nederland moet een nieuwe kerncentrale bouwen.,agree,VVD
14, Woningen op landbouwgrond ,Housing on agricultural land,Er moeten woningen worden gebouwd op grond die nu voor landbouw wordt gebruikt.,disagree,VVD
15, Belastingvoordeel huishoudens ,Household tax benefits,"Huishoudens met twee partners waarvan er één werkt, moeten net zoveel belastingvoordeel krijgen als huishoudens met twee werkende partners.",disagree,VVD
16, Excuses slavenhandel ,Apology for the slave trade,De Nederlandse regering moet excuses aanbieden voor de slavenhandel in het verleden.,disagree,VVD
17, Correctief referendum ,Corrective referendum,Burgers moeten de mogelijkheid krijgen om door het parlement aangenomen wetten tegen te houden via een referendum.,disagree,VVD
18, Inkomen leraren ,Teacher salaries,Leraren op basisscholen moeten net zoveel gaan verdienen als leraren op middelbare scholen.,neutral,VVD
19, Gevangenisstraffen ,Prison sentences,Er moeten minder mogelijkheden komen om taakstraffen op te leggen in plaats van gevangenisstraffen.,agree,VVD
20, Vliegbelasting ,Air travel tax,Nederland moet een extra vliegbelasting invoeren voor korte-afstandsvluchten.,disagree,VVD
21, Inburgering op locatie ,Location-based integration,Asielzoekers met een voorlopige verblijfsvergunning moeten eerst inburgeren voordat zij een huurwoning krijgen.,agree,VVD
22, Legalisering softdrugs ,Legalization of soft drugs,Zowel inkoop als verkoop van softdrugs door coffeeshops moet legaal worden.,neutral,VVD
23, Nederlandstalig hoger onderwijs ,Dutch-language higher education,De overheid moet onderwijs in het Nederlands vaker verplicht stellen op universiteiten en hogescholen.,agree,VVD
24, Voltooid leven ,Completed life,"Mensen die hun leven voltooid vinden, moeten hulp kunnen krijgen bij zelfdoding.",agree,VVD
25, Koppeling minimumloon en bijstand ,Minimum wage and welfare linkage,Verhoging van de minimumlonen moet niet langer automatisch leiden tot verhoging van de bijstandsuitkeringen.,agree,VVD
26, Sociale huurwoningen ,Social housing,Nieuwbouwwijken moeten voor ten minste 40 procent bestaan uit sociale huurwoningen.,disagree,VVD
27, Boerenbedrijven ,Farming businesses,Er moeten geen nieuwe beperkingen komen op de activiteiten van boerenbedrijven.,agree,VVD
28, Middenschool ,Middle school,"Er moet een middenschool komen, zodat leerlingen op latere leeftijd de keuze maken tussen vmbo, havo of vwo.",disagree,VVD
29, Vluchtelingen opnemen ,Accepting refugees,Nederland moet meer vluchtelingen opnemen dan het nu doet.,disagree,VVD
30, Mondkapjesplicht ,Face mask mandate,Mensen moeten altijd zelf kunnen kiezen of ze een mondkapje dragen. ,disagree,VVD
1, Vaccinatiebewijs ,Vaccination certificate,Organisatoren van evenementen moeten bij de toegang een vaccinatiebewijs kunnen vragen.,disagree,PVV
2, Defensiebudget ,Defense budget,Nederland moet meer geld uitgeven aan  defensie.,agree,PVV
3, Gratis kinderopvang ,Free childcare,Kinderopvang moet voor alle ouders ten minste drie dagen in de week gratis worden.,disagree,PVV
4, Nederland uit EU ,Netherlands leaving the EU,Nederland moet uit de Europese Unie (EU) stappen.,agree,PVV
5, Rekeningrijden ,Road pricing,In plaats van de belasting op autobezit moet er voor automobilisten een belasting komen per gereden kilometer.,disagree,PVV
6, Vuurwerk ,Fireworks,Aankomende jaarwisseling moet het weer toegestaan zijn om siervuurwerk af te steken.,agree,PVV
7, Vleesbelasting ,Meat tax,Er moet een extra belasting komen op het kopen van vlees.,disagree,PVV
8, Publieke omroep ,Public broadcasting,Er moet minder geld naar de publieke omroep.,agree,PVV
9, Zorgfonds ,Healthcare fund,In plaats van de bestaande zorgverzekeraars moet er een landelijk zorgfonds komen voor iedereen.,neutral,PVV
10, Gezichtsbedekkende kleding ,Face-covering clothing,De regering moet het verbod op gezichtsbedekkende kleding afschaffen.,disagree,PVV
11, Volkshuisvesting ,Public housing,In plaats van provincies en gemeenten moet de landelijke overheid beslissen waar nieuwe woonwijken worden gebouwd.,agree,PVV
12, Btw op kunst en cultuur ,VAT on arts and culture,De regering moet de btw op culturele activiteiten verlagen naar 5 procent.,disagree,PVV
13, Kerncentrale ,Nuclear power plant,Nederland moet een nieuwe kerncentrale bouwen.,agree,PVV
14, Woningen op landbouwgrond ,Housing on agricultural land,Er moeten woningen worden gebouwd op grond die nu voor landbouw wordt gebruikt.,neutral,PVV
15, Belastingvoordeel huishoudens ,Household tax benefits,"Huishoudens met twee partners waarvan er één werkt, moeten net zoveel belastingvoordeel krijgen als huishoudens met twee werkende partners.",agree,PVV
16, Excuses slavenhandel ,Apology for the slave trade,De Nederlandse regering moet excuses aanbieden voor de slavenhandel in het verleden.,disagree,PVV
17, Correctief referendum ,Corrective referendum,Burgers moeten de mogelijkheid krijgen om door het parlement aangenomen wetten tegen te houden via een referendum.,agree,PVV
18, Inkomen leraren ,Teacher salaries,Leraren op basisscholen moeten net zoveel gaan verdienen als leraren op middelbare scholen.,agree,PVV
19, Gevangenisstraffen ,Prison sentences,Er moeten minder mogelijkheden komen om taakstraffen op te leggen in plaats van gevangenisstraffen.,agree,PVV
20, Vliegbelasting ,Air travel tax,Nederland moet een extra vliegbelasting invoeren voor korte-afstandsvluchten.,disagree,PVV
21, Inburgering op locatie ,Location-based integration,Asielzoekers met een voorlopige verblijfsvergunning moeten eerst inburgeren voordat zij een huurwoning krijgen.,agree,PVV
22, Legalisering softdrugs ,Legalization of soft drugs,Zowel inkoop als verkoop van softdrugs door coffeeshops moet legaal worden.,disagree,PVV
23, Nederlandstalig hoger onderwijs ,Dutch-language higher education,De overheid moet onderwijs in het Nederlands vaker verplicht stellen op universiteiten en hogescholen.,agree,PVV
24, Voltooid leven ,Completed life,"Mensen die hun leven voltooid vinden, moeten hulp kunnen krijgen bij zelfdoding.",neutral,PVV
25, Koppeling minimumloon en bijstand ,Minimum wage and welfare linkage,Verhoging van de minimumlonen moet niet langer automatisch leiden tot verhoging van de bijstandsuitkeringen.,agree,PVV
26, Sociale huurwoningen ,Social housing,Nieuwbouwwijken moeten voor ten minste 40 procent bestaan uit sociale huurwoningen.,agree,PVV
27, Boerenbedrijven ,Farming businesses,Er moeten geen nieuwe beperkingen komen op de activiteiten van boerenbedrijven.,agree,PVV
28, Middenschool ,Middle school,"Er moet een middenschool komen, zodat leerlingen op latere leeftijd de keuze maken tussen vmbo, havo of vwo.",disagree,PVV
29, Vluchtelingen opnemen ,Accepting refugees,Nederland moet meer vluchtelingen opnemen dan het nu doet.,disagree,PVV
30, Mondkapjesplicht ,Face mask mandate,Mensen moeten altijd zelf kunnen kiezen of ze een mondkapje dragen. ,disagree,PVV
1, Vaccinatiebewijs ,Vaccination certificate,Organisatoren van evenementen moeten bij de toegang een vaccinatiebewijs kunnen vragen.,disagree,CDA
2, Defensiebudget ,Defense budget,Nederland moet meer geld uitgeven aan  defensie.,agree,CDA
3, Gratis kinderopvang ,Free childcare,Kinderopvang moet voor alle ouders ten minste drie dagen in de week gratis worden.,agree,CDA
4, Nederland uit EU ,Netherlands leaving the EU,Nederland moet uit de Europese Unie (EU) stappen.,disagree,CDA
5, Rekeningrijden ,Road pricing,In plaats van de belasting op autobezit moet er voor automobilisten een belasting komen per gereden kilometer.,disagree,CDA
6, Vuurwerk ,Fireworks,Aankomende jaarwisseling moet het weer toegestaan zijn om siervuurwerk af te steken.,agree,CDA
7, Vleesbelasting ,Meat tax,Er moet een extra belasting komen op het kopen van vlees.,disagree,CDA
8, Publieke omroep ,Public broadcasting,Er moet minder geld naar de publieke omroep.,disagree,CDA
9, Zorgfonds ,Healthcare fund,In plaats van de bestaande zorgverzekeraars moet er een landelijk zorgfonds komen voor iedereen.,disagree,CDA
10, Gezichtsbedekkende kleding ,Face-covering clothing,De regering moet het verbod op gezichtsbedekkende kleding afschaffen.,disagree,CDA
11, Volkshuisvesting ,Public housing,In plaats van provincies en gemeenten moet de landelijke overheid beslissen waar nieuwe woonwijken worden gebouwd.,agree,CDA
12, Btw op kunst en cultuur ,VAT on arts and culture,De regering moet de btw op culturele activiteiten verlagen naar 5 procent.,disagree,CDA
13, Kerncentrale ,Nuclear power plant,Nederland moet een nieuwe kerncentrale bouwen.,agree,CDA
14, Woningen op landbouwgrond ,Housing on agricultural land,Er moeten woningen worden gebouwd op grond die nu voor landbouw wordt gebruikt.,agree,CDA
15, Belastingvoordeel huishoudens ,Household tax benefits,"Huishoudens met twee partners waarvan er één werkt, moeten net zoveel belastingvoordeel krijgen als huishoudens met twee werkende partners.",agree,CDA
16, Excuses slavenhandel ,Apology for the slave trade,De Nederlandse regering moet excuses aanbieden voor de slavenhandel in het verleden.,disagree,CDA
17, Correctief referendum ,Corrective referendum,Burgers moeten de mogelijkheid krijgen om door het parlement aangenomen wetten tegen te houden via een referendum.,disagree,CDA
18, Inkomen leraren ,Teacher salaries,Leraren op basisscholen moeten net zoveel gaan verdienen als leraren op middelbare scholen.,agree,CDA
19, Gevangenisstraffen ,Prison sentences,Er moeten minder mogelijkheden komen om taakstraffen op te leggen in plaats van gevangenisstraffen.,agree,CDA
20, Vliegbelasting ,Air travel tax,Nederland moet een extra vliegbelasting invoeren voor korte-afstandsvluchten.,disagree,CDA
21, Inburgering op locatie ,Location-based integration,Asielzoekers met een voorlopige verblijfsvergunning moeten eerst inburgeren voordat zij een huurwoning krijgen.,agree,CDA
22, Legalisering softdrugs ,Legalization of soft drugs,Zowel inkoop als verkoop van softdrugs door coffeeshops moet legaal worden.,disagree,CDA
23, Nederlandstalig hoger onderwijs ,Dutch-language higher education,De overheid moet onderwijs in het Nederlands vaker verplicht stellen op universiteiten en hogescholen.,agree,CDA
24, Voltooid leven ,Completed life,"Mensen die hun leven voltooid vinden, moeten hulp kunnen krijgen bij zelfdoding.",disagree,CDA
25, Koppeling minimumloon en bijstand ,Minimum wage and welfare linkage,Verhoging van de minimumlonen moet niet langer automatisch leiden tot verhoging van de bijstandsuitkeringen.,disagree,CDA
26, Sociale huurwoningen ,Social housing,Nieuwbouwwijken moeten voor ten minste 40 procent bestaan uit sociale huurwoningen.,disagree,CDA
27, Boerenbedrijven ,Farming businesses,Er moeten geen nieuwe beperkingen komen op de activiteiten van boerenbedrijven.,agree,CDA
28, Middenschool ,Middle school,"Er moet een middenschool komen, zodat leerlingen op latere leeftijd de keuze maken tussen vmbo, havo of vwo.",agree,CDA
29, Vluchtelingen opnemen ,Accepting refugees,Nederland moet meer vluchtelingen opnemen dan het nu doet.,disagree,CDA
30, Mondkapjesplicht ,Face mask mandate,Mensen moeten altijd zelf kunnen kiezen of ze een mondkapje dragen. ,disagree,CDA
1, Vaccinatiebewijs ,Vaccination certificate,Organisatoren van evenementen moeten bij de toegang een vaccinatiebewijs kunnen vragen.,agree,D66
2, Defensiebudget ,Defense budget,Nederland moet meer geld uitgeven aan  defensie.,agree,D66
3, Gratis kinderopvang ,Free childcare,Kinderopvang moet voor alle ouders ten minste drie dagen in de week gratis worden.,agree,D66
4, Nederland uit EU ,Netherlands leaving the EU,Nederland moet uit de Europese Unie (EU) stappen.,disagree,D66
5, Rekeningrijden ,Road pricing,In plaats van de belasting op autobezit moet er voor automobilisten een belasting komen per gereden kilometer.,agree,D66
6, Vuurwerk ,Fireworks,Aankomende jaarwisseling moet het weer toegestaan zijn om siervuurwerk af te steken.,agree,D66
7, Vleesbelasting ,Meat tax,Er moet een extra belasting komen op het kopen van vlees.,agree,D66
8, Publieke omroep ,Public broadcasting,Er moet minder geld naar de publieke omroep.,disagree,D66
9, Zorgfonds ,Healthcare fund,In plaats van de bestaande zorgverzekeraars moet er een landelijk zorgfonds komen voor iedereen.,disagree,D66
10, Gezichtsbedekkende kleding ,Face-covering clothing,De regering moet het verbod op gezichtsbedekkende kleding afschaffen.,agree,D66
11, Volkshuisvesting ,Public housing,In plaats van provincies en gemeenten moet de landelijke overheid beslissen waar nieuwe woonwijken worden gebouwd.,disagree,D66
12, Btw op kunst en cultuur ,VAT on arts and culture,De regering moet de btw op culturele activiteiten verlagen naar 5 procent.,agree,D66
13, Kerncentrale ,Nuclear power plant,Nederland moet een nieuwe kerncentrale bouwen.,neutral,D66
14, Woningen op landbouwgrond ,Housing on agricultural land,Er moeten woningen worden gebouwd op grond die nu voor landbouw wordt gebruikt.,agree,D66
15, Belastingvoordeel huishoudens ,Household tax benefits,"Huishoudens met twee partners waarvan er één werkt, moeten net zoveel belastingvoordeel krijgen als huishoudens met twee werkende partners.",disagree,D66
16, Excuses slavenhandel ,Apology for the slave trade,De Nederlandse regering moet excuses aanbieden voor de slavenhandel in het verleden.,agree,D66
17, Correctief referendum ,Corrective referendum,Burgers moeten de mogelijkheid krijgen om door het parlement aangenomen wetten tegen te houden via een referendum.,agree,D66
18, Inkomen leraren ,Teacher salaries,Leraren op basisscholen moeten net zoveel gaan verdienen als leraren op middelbare scholen.,agree,D66
19, Gevangenisstraffen ,Prison sentences,Er moeten minder mogelijkheden komen om taakstraffen op te leggen in plaats van gevangenisstraffen.,disagree,D66
20, Vliegbelasting ,Air travel tax,Nederland moet een extra vliegbelasting invoeren voor korte-afstandsvluchten.,agree,D66
21, Inburgering op locatie ,Location-based integration,Asielzoekers met een voorlopige verblijfsvergunning moeten eerst inburgeren voordat zij een huurwoning krijgen.,disagree,D66
22, Legalisering softdrugs ,Legalization of soft drugs,Zowel inkoop als verkoop van softdrugs door coffeeshops moet legaal worden.,agree,D66
23, Nederlandstalig hoger onderwijs ,Dutch-language higher education,De overheid moet onderwijs in het Nederlands vaker verplicht stellen op universiteiten en hogescholen.,agree,D66
24, Voltooid leven ,Completed life,"Mensen die hun leven voltooid vinden, moeten hulp kunnen krijgen bij zelfdoding.",agree,D66
25, Koppeling minimumloon en bijstand ,Minimum wage and welfare linkage,Verhoging van de minimumlonen moet niet langer automatisch leiden tot verhoging van de bijstandsuitkeringen.,disagree,D66
26, Sociale huurwoningen ,Social housing,Nieuwbouwwijken moeten voor ten minste 40 procent bestaan uit sociale huurwoningen.,disagree,D66
27, Boerenbedrijven ,Farming businesses,Er moeten geen nieuwe beperkingen komen op de activiteiten van boerenbedrijven.,disagree,D66
28, Middenschool ,Middle school,"Er moet een middenschool komen, zodat leerlingen op latere leeftijd de keuze maken tussen vmbo, havo of vwo.",agree,D66
29, Vluchtelingen opnemen ,Accepting refugees,Nederland moet meer vluchtelingen opnemen dan het nu doet.,agree,D66
30, Mondkapjesplicht ,Face mask mandate,Mensen moeten altijd zelf kunnen kiezen of ze een mondkapje dragen. ,disagree,D66
1, Vaccinatiebewijs ,Vaccination certificate,Organisatoren van evenementen moeten bij de toegang een vaccinatiebewijs kunnen vragen.,disagree,GroenLinks
2, Defensiebudget ,Defense budget,Nederland moet meer geld uitgeven aan  defensie.,disagree,GroenLinks
3, Gratis kinderopvang ,Free childcare,Kinderopvang moet voor alle ouders ten minste drie dagen in de week gratis worden.,agree,GroenLinks
4, Nederland uit EU ,Netherlands leaving the EU,Nederland moet uit de Europese Unie (EU) stappen.,disagree,GroenLinks
5, Rekeningrijden ,Road pricing,In plaats van de belasting op autobezit moet er voor automobilisten een belasting komen per gereden kilometer.,agree,GroenLinks
